N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
6143,Software Engineer,2,0.5,2200,1000,Київ,до 50 осіб,Аутстафінгова,чоловіча,31,Вища,False,Upper-Intermediate (вище середнього),21/06/2017 12:15:54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,2200,Python
6167,Software Engineer,0.25,0.25,700,0,Київ,до 50 осіб,Інша,чоловіча,23,Вища,True,Intermediate (середній),21/06/2017 12:53:11,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0.25,0.25,700,Python
6193,Technical Lead,3,3,3700,0,Одеса,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),21/06/2017 13:55:30,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,3.0,3.0,3700,Python
6199,Software Engineer,10 і більше років,2,2950,300,Київ,до 10 осіб,Аутстафінгова,чоловіча,37,Дві вищих,False,Upper-Intermediate (вище середнього),21/06/2017 14:12:20,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,2.0,2950,Python
6253,Junior Software Engineer,1,1,400,0,Дніпро,до 50 осіб,Аутстафінгова,чоловіча,21,Вища,False,Upper-Intermediate (вище середнього),21/06/2017 17:27:51,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",1.0,1.0,400,Python
6284,Senior Software Engineer,6,1,3100,600,Харків,до 1000 осіб,Аутстафінгова,чоловіча,36,Дві вищих,False,Upper-Intermediate (вище середнього),21/06/2017 18:36:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",6.0,1.0,3100,Python
6346,Junior Software Engineer,1.5,1,1000,400,Київ,до 50 осіб,Продуктова,чоловіча,22,Неповна Вища,True,Intermediate (середній),22/06/2017 01:14:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5",1.5,1.0,1000,Python
6498,Senior Software Engineer,6,0.5,3300,300,Київ,до 10 осіб,Стартап,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),23/06/2017 00:03:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.5,3300,Python
6534,Junior Software Engineer,1.5,0.5,400,200,Київ,до 50 осіб,Інша,чоловіча,30,Вища,False,Pre-intermediate (нище середнього),23/06/2017 11:17:38,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,400,Python
6550,Senior Software Engineer,10 і більше років,0.25,2500,0,Київ,до 10 осіб,Продуктова,чоловіча,45,Вища,False,Pre-intermediate (нище середнього),23/06/2017 12:31:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.25,2500,Python
6620,Software Engineer,2,1.5,1950,850,Київ,до 10 осіб,Продуктова,чоловіча,23,Вища,False,Advanced (просунутий),23/06/2017 22:30:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,1.5,1950,Python
6715,Senior Software Engineer,6,1,3300,800,Київ,до 10 осіб,Стартап,чоловіча,26,Вища,False,Intermediate (середній),25/06/2017 14:57:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",6.0,1.0,3300,Python
6730,Senior Software Engineer,6,4,3000,150,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,False,Intermediate (середній),25/06/2017 18:42:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,4.0,3000,Python
6751,Software Engineer,1.5,1,1272,768,Інше,до 50 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Intermediate (середній),26/06/2017 01:26:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,1.0,1272,Python
6790,Senior Software Engineer,7,менше 3 місяців,5000,0,Київ,до 200 осіб,Стартап,чоловіча,28,Вища,False,Advanced (просунутий),26/06/2017 11:14:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",7.0,0.0,5000,Python
6866,Software Engineer,3,менше 3 місяців,1600,400,Харків,до 50 осіб,Аутстафінгова,чоловіча,23,Вища,False,Advanced (просунутий),26/06/2017 11:41:55,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0,3.0,0.0,1600,Python
6911,Technical Lead,10 і більше років,10 і більше років,2500,200,Херсон,до 50 осіб,Продуктова,чоловіча,30,Вища,False,Pre-intermediate (нище середнього),26/06/2017 12:16:50,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,10.0,10.0,2500,Python
6949,Software Engineer,1,0.5,1200,600,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,False,Intermediate (середній),26/06/2017 13:27:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",1.0,0.5,1200,Python
7050,Junior Software Engineer,1,1,900,300,Київ,до 50 осіб,Стартап,чоловіча,23,Неповна Вища,True,Intermediate (середній),26/06/2017 19:53:03,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,900,Python
7051,Software Engineer,4,1,1400,500,Львів,до 1000 осіб,Аутстафінгова,чоловіча,34,Неповна Вища,False,Intermediate (середній),26/06/2017 20:07:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",4.0,1.0,1400,Python
7085,Software Engineer,2,менше 3 місяців,2000,1400,Київ,до 10 осіб,Стартап,чоловіча,21,Вища,True,Intermediate (середній),26/06/2017 23:36:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2000,Python
7099,Senior Software Engineer,5,4,2600,100,Вінниця,до 200 осіб,Аутсорсингова,чоловіча,31,Вища,False,Intermediate (середній),27/06/2017 01:20:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,4.0,2600,Python
7141,Junior Software Engineer,менше 3 місяців,менше 3 місяців,100,0,Харків,до 50 осіб,Аутсорсингова,жіноча,20,Вища,True,Pre-intermediate (нище середнього),27/06/2017 12:07:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,100,Python
7160,Junior Software Engineer,1.5,менше 3 місяців,800,500,Київ,до 10 осіб,Стартап,чоловіча,22,Неповна Вища,False,Pre-intermediate (нище середнього),27/06/2017 13:51:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,800,Python
7209,Software Engineer,2,2,950,345,Запоріжжя,до 200 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,False,Upper-Intermediate (вище середнього),27/06/2017 20:17:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,950,Python
7400,Junior Software Engineer,1,1,1000,400,Київ,до 50 осіб,Продуктова,чоловіча,24,Неповна Вища,False,Pre-intermediate (нище середнього),29/06/2017 16:33:56,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,1000,Python
7405,Software Engineer,2,1,1100,400,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),29/06/2017 16:53:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1100,Python
7458,Junior Software Engineer,менше 3 місяців,менше 3 місяців,250,50,Київ,до 10 осіб,Стартап,чоловіча,23,Вища,False,Upper-Intermediate (вище середнього),30/06/2017 13:10:02,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,250,Python
7474,Junior Software Engineer,0.5,0.5,400,100,Запоріжжя,до 50 осіб,Аутсорсингова,жіноча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),30/06/2017 15:15:06,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,400,Python
7784,Senior Software Engineer,5,менше 3 місяців,3200,700,Київ,до 200 осіб,Аутстафінгова,чоловіча,24,Неповна Вища,False,Upper-Intermediate (вище середнього),04/07/2017 14:36:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,0.0,3200,Python
7882,Software Engineer,2,1,750,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,21,Вища,False,Pre-intermediate (нище середнього),05/07/2017 11:57:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,1.0,750,Python
7982,Software Engineer,5,5,2850,0,Київ,до 200 осіб,Продуктова,жіноча,29,Вища,False,Upper-Intermediate (вище середнього),06/07/2017 11:44:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2850,Python
8074,Senior Software Engineer,6,0.25,4300,1000,Київ,до 50 осіб,Стартап,чоловіча,28,Вища,False,Intermediate (середній),06/07/2017 12:28:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,0.25,4300,Python
8118,Senior Software Engineer,10 і більше років,1.5,4500,0,Київ,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),06/07/2017 13:36:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,1.5,4500,Python
8121,Senior Software Engineer,9,1,4000,0,Київ,до 1000 осіб,Продуктова,чоловіча,27,Вища,False,Advanced (просунутий),06/07/2017 13:41:09,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:54.0) Gecko/20100101 Firefox/54.0,9.0,1.0,4000,Python
8226,Senior Software Engineer,10 і більше років,2,5000,500,Київ,більше 1000 осіб,Продуктова,чоловіча,31,Вища,False,Upper-Intermediate (вище середнього),06/07/2017 18:44:25,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,2.0,5000,Python
8229,System Architect,10 і більше років,2,5000,0,Київ,до 10 осіб,Продуктова,чоловіча,31,Вища,False,Intermediate (середній),06/07/2017 19:15:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",10.0,2.0,5000,Python
8382,Technical Lead,7,1,3000,1000,Віддалено,до 10 осіб,Стартап,чоловіча,24,Неповна Вища,False,Upper-Intermediate (вище середнього),07/07/2017 19:51:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",7.0,1.0,3000,Python
8399,Software Engineer,1,1,800,500,Харків,до 50 осіб,Аутсорсингова,чоловіча,33,Вища,False,Intermediate (середній),07/07/2017 22:56:21,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,800,Python
8446,Technical Lead,7,7,1900,150,Львів,до 200 осіб,Продуктова,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),08/07/2017 18:46:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",7.0,7.0,1900,Python
8503,Junior Software Engineer,2,1,1250,800,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,21,Вища,False,Upper-Intermediate (вище середнього),09/07/2017 20:48:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",2.0,1.0,1250,Python
8524,Junior Software Engineer,0.25,0.25,185,0,Київ,до 50 осіб,Інша,жіноча,19,Неповна Вища,True,Intermediate (середній),10/07/2017 10:26:33,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",0.25,0.25,185,Python
8547,Software Engineer,5,1,2000,800,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,False,Intermediate (середній),10/07/2017 14:11:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,1.0,2000,Python
8626,Software Engineer,4,1,1750,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Середня,False,Intermediate (середній),11/07/2017 16:15:40,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,1.0,1750,Python
8636,Senior Software Engineer,10 і більше років,менше 3 місяців,4000,1300,Віддалено,до 10 осіб,Стартап,чоловіча,33,Вища,False,Upper-Intermediate (вище середнього),11/07/2017 17:51:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,0.0,4000,Python
8674,Junior Software Engineer,0.5,0.5,350,50,Київ,до 50 осіб,Аутсорсингова,чоловіча,22,Вища,False,Intermediate (середній),12/07/2017 9:37:16,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,350,Python
8696,Software Engineer,1,0.5,1500,1000,Київ,до 10 осіб,Стартап,чоловіча,29,Вища,False,Intermediate (середній),12/07/2017 14:39:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,0.5,1500,Python
